Tick: 86, energy: -14.5754, penergy: -15.8409, kenergy: 1.26541
Tick: 87, energy: -14.5754, penergy: -15.8412, kenergy: 1.26571
Tick: 88, energy: -14.5754, penergy: -15.8415, kenergy: 1.26601
Tick: 89, energy: -14.5754, penergy: -15.8418, kenergy: 1.26631
Tick: 90, energy: -14.5754, penergy: -15.8421, kenergy: 1.26662
Tick: 91, energy: -14.5755, penergy: -15.8424, kenergy: 1.26692
Tick: 92, energy: -14.5755, penergy: -15.8427, kenergy: 1.26723
Tick: 93, energy: -14.5755, penergy: -15.843, kenergy: 1.26755
Tick: 94, energy: -14.5755, penergy: -15.8433, kenergy: 1.26786
Tick: 95, energy: -14.5755, penergy: -15.8436, kenergy: 1.26818
Tick: 96, energy: -14.5755, penergy: -15.844, kenergy: 1.2685
Tick: 97, energy: -14.5755, penergy: -15.8443, kenergy: 1.26883
Tick: 98, energy: -14.5755, penergy: -15.8446, kenergy: 1.26915
Tick: 99, energy: -14.5755, penergy: -15.8449, kenergy: 1.26948
Tick: 100, energy: -14.5755, penergy: -15.8453, kenergy: 1.26981
Tick: 101, energy: -14.5755, penergy: -15.8456, kenergy: 1.27015
Tick: 102, energy: -14.5755, penergy: -15.846, kenergy: 1.27049
Tick: 103, energy: -14.5755, penergy: -15.8463, kenergy: 1.27083
Tick: 104, energy: -14.5755, penergy: -15.8466, kenergy: 1.27117
Tick: 105, energy: -14.5755, penergy: -15.847, kenergy: 1.27152
Tick: 106, energy: -14.5755, penergy: -15.8473, kenergy: 1.27186
Tick: 107, energy: -14.5755, penergy: -15.8477, kenergy: 1.27222
Tick: 108, energy: -14.5755, penergy: -15.848, kenergy: 1.27257
Tick: 109, energy: -14.5755, penergy: -15.8484, kenergy: 1.27293
Tick: 110, energy: -14.5755, penergy: -15.8488, kenergy: 1.27329
Tick: 111, energy: -14.5755, penergy: -15.8491, kenergy: 1.27365
Tick: 112, energy: -14.5755, penergy: -15.8495, kenergy: 1.27401
Tick: 113, energy: -14.5755, penergy: -15.8499, kenergy: 1.27438
Tick: 114, energy: -14.5755, penergy: -15.8502, kenergy: 1.27475
Tick: 115, energy: -14.5755, penergy: -15.8506, kenergy: 1.27512
Tick: 116, energy: -14.5755, penergy: -15.851, kenergy: 1.2755
Tick: 117, energy: -14.5755, penergy: -15.8514, kenergy: 1.27588
Tick: 118, energy: -14.5755, penergy: -15.8517, kenergy: 1.27626
Tick: 119, energy: -14.5755, penergy: -15.8521, kenergy: 1.27664
Tick: 120, energy: -14.5755, penergy: -15.8525, kenergy: 1.27703
Tick: 121, energy: -14.5755, penergy: -15.8529, kenergy: 1.27742
Tick: 122, energy: -14.5755, penergy: -15.8533, kenergy: 1.27781
Tick: 123, energy: -14.5755, penergy: -15.8537, kenergy: 1.27821
Tick: 124, energy: -14.5755, penergy: -15.8541, kenergy: 1.27861
Tick: 125, energy: -14.5755, penergy: -15.8545, kenergy: 1.27901
Tick: 126, energy: -14.5755, penergy: -15.8549, kenergy: 1.27941
Tick: 127, energy: -14.5755, penergy: -15.8553, kenergy: 1.27982
Tick: 128, energy: -14.5755, penergy: -15.8557, kenergy: 1.28023
Tick: 129, energy: -14.5755, penergy: -15.8561, kenergy: 1.28064
Tick: 130, energy: -14.5755, penergy: -15.8566, kenergy: 1.28105
Tick: 131, energy: -14.5755, penergy: -15.857, kenergy: 1.28147
Tick: 132, energy: -14.5755, penergy: -15.8574, kenergy: 1.28189
Tick: 133, energy: -14.5755, penergy: -15.8578, kenergy: 1.28232
Tick: 134, energy: -14.5755, penergy: -15.8583, kenergy: 1.28274
Tick: 135, energy: -14.5755, penergy: -15.8587, kenergy: 1.28317
Tick: 136, energy: -14.5755, penergy: -15.8591, kenergy: 1.2836
Tick: 137, energy: -14.5755, penergy: -15.8596, kenergy: 1.28404
Tick: 138, energy: -14.5755, penergy: -15.86, kenergy: 1.28447
Tick: 139, energy: -14.5755, penergy: -15.8604, kenergy: 1.28492
Tick: 140, energy: -14.5755, penergy: -15.8609, kenergy: 1.28536
Tick: 141, energy: -14.5755, penergy: -15.8613, kenergy: 1.2858
Tick: 142, energy: -14.5755, penergy: -15.8618, kenergy: 1.28625
Tick: 143, energy: -14.5755, penergy: -15.8622, kenergy: 1.2867
Tick: 144, energy: -14.5755, penergy: -15.8627, kenergy: 1.28716
Tick: 145, energy: -14.5755, penergy: -15.8631, kenergy: 1.28762
Tick: 146, energy: -14.5755, penergy: -15.8636, kenergy: 1.28808
Tick: 147, energy: -14.5755, penergy: -15.8641, kenergy: 1.28854
Tick: 148, energy: -14.5755, penergy: -15.8645, kenergy: 1.289
Tick: 149, energy: -14.5755, penergy: -15.865, kenergy: 1.28947
Tick: 150, energy: -14.5755, penergy: -15.8655, kenergy: 1.28994
Tick: 151, energy: -14.5755, penergy: -15.866, kenergy: 1.29042
Tick: 152, energy: -14.5755, penergy: -15.8664, kenergy: 1.2909
Tick: 153, energy: -14.5755, penergy: -15.8669, kenergy: 1.29138
Tick: 154, energy: -14.5755, penergy: -15.8674, kenergy: 1.29186
Tick: 155, energy: -14.5755, penergy: -15.8679, kenergy: 1.29235
Tick: 156, energy: -14.5755, penergy: -15.8684, kenergy: 1.29283
Tick: 157, energy: -14.5755, penergy: -15.8689, kenergy: 1.29333
Tick: 158, energy: -14.5755, penergy: -15.8694, kenergy: 1.29382
Tick: 159, energy: -14.5755, penergy: -15.8699, kenergy: 1.29432
Tick: 160, energy: -14.5755, penergy: -15.8704, kenergy: 1.29482
Tick: 161, energy: -14.5755, penergy: -15.8709, kenergy: 1.29532
Tick: 162, energy: -14.5755, penergy: -15.8714, kenergy: 1.29583
Tick: 163, energy: -14.5756, penergy: -15.8719, kenergy: 1.29634
Tick: 164, energy: -14.5756, penergy: -15.8724, kenergy: 1.29685
Tick: 165, energy: -14.5756, penergy: -15.8729, kenergy: 1.29736
Tick: 166, energy: -14.5756, penergy: -15.8734, kenergy: 1.29788
Tick: 167, energy: -14.5756, penergy: -15.874, kenergy: 1.2984
Tick: 168, energy: -14.5756, penergy: -15.8745, kenergy: 1.29893
Tick: 169, energy: -14.5756, penergy: -15.875, kenergy: 1.29945
Tick: 170, energy: -14.5756, penergy: -15.8755, kenergy: 1.29998
Tick: 171, energy: -14.5756, penergy: -15.8761, kenergy: 1.30051
Tick: 172, energy: -14.5756, penergy: -15.8766, kenergy: 1.30105
Tick: 173, energy: -14.5756, penergy: -15.8772, kenergy: 1.30159
Tick: 174, energy: -14.5756, penergy: -15.8777, kenergy: 1.30213
Tick: 175, energy: -14.5756, penergy: -15.8782, kenergy: 1.30267
Tick: 176, energy: -14.5756, penergy: -15.8788, kenergy: 1.30322
Tick: 177, energy: -14.5756, penergy: -15.8793, kenergy: 1.30377
Tick: 178, energy: -14.5756, penergy: -15.8799, kenergy: 1.30432
Tick: 179, energy: -14.5756, penergy: -15.8805, kenergy: 1.30488
Tick: 180, energy: -14.5756, penergy: -15.881, kenergy: 1.30544
Tick: 181, energy: -14.5756, penergy: -15.8816, kenergy: 1.306
Tick: 182, energy: -14.5756, penergy: -15.8821, kenergy: 1.30657
Tick: 183, energy: -14.5756, penergy: -15.8827, kenergy: 1.30713
Tick: 184, energy: -14.5756, penergy: -15.8833, kenergy: 1.3077
Tick: 185, energy: -14.5756, penergy: -15.8839, kenergy: 1.30828
Tick: 186, energy: -14.5756, penergy: -15.8844, kenergy: 1.30886
Tick: 187, energy: -14.5756, penergy: -15.885, kenergy: 1.30944
Tick: 188, energy: -14.5756, penergy: -15.8856, kenergy: 1.31002
Tick: 189, energy: -14.5756, penergy: -15.8862, kenergy: 1.3106
Tick: 190, energy: -14.5756, penergy: -15.8868, kenergy: 1.31119
Tick: 191, energy: -14.5756, penergy: -15.8874, kenergy: 1.31179
Tick: 192, energy: -14.5756, penergy: -15.888, kenergy: 1.31238
Tick: 193, energy: -14.5756, penergy: -15.8886, kenergy: 1.31298
